Gender,Age,Figure,Job,Heavy:Light,Passive:Active,Cold:Warm,Dirty:Clean,Traditional:Modern,Plain: Gaudy,Tense:Relaxed,FatL:SlimL,Masculine:Feminine,HMatch:EMatch,Dislike:Like,Group
女,26~30,均匀的,服装,1,2,1,-1,-1,1,1,1,1,-1,1,7
女,26~30,均匀的,服装设计,2,3,1,1,1,2,1,1,3,-3,-3,7
女,26~30,均匀的,纺织研究助理,1,2,2,2,1,3,1,-1,3,-2,1,7
女,31~40,偏瘦的,(空),-1,2,2,2,2,3,1,-3,3,-3,-3,7
女,31~40,均匀的,(空),1,2,2,1,2,3,2,-2,3,-3,1,7
女,31~40,均匀的,教师,-1,2,1,-1,1,-1,1,1,-1,1,1,7
女,31~40,偏胖的,教育,-2,3,2,1,2,3,-2,1,2,1,1,7
男,18~25,均匀的,master of school of architecture,2,3,1,2,2,-1,1,2,1,-1,1,7
男,18~25,偏瘦的,广告,1,1,1,1,1,1,1,-1,3,-2,-2,7
男,18~25,均匀的,学生,1,-1,2,1,-1,-1,-1,1,1,1,1,7
男,18~25,均匀的,学生,2,3,2,1,2,1,2,1,-1,1,1,7
男,18~25,均匀的,学生,-1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,7
男,18~25,均匀的,学生,-2,3,-1,-2,-1,-2,-1,1,-2,-1,-1,7
男,18岁以下,偏瘦的,本科在校学生,1,-1,1,1,1,1,1,1,-1,-1,-2,7
男,26~30,偏胖的,学生,2,2,2,2,2,2,-1,1,3,-1,-1,7
男,26~30,均匀的,颜色科学,3,3,3,3,3,3,3,3,3,2,3,7
男,26~30,偏胖的,(空),2,3,-1,2,2,1,2,1,-1,-1,-1,7
男,26~30,偏瘦的,design master,-2,3,2,-2,-1,2,-2,-1,2,-1,-2,7
男,31~40,偏胖的,工业设计,3,3,2,1,3,3,3,1,3,-1,-1,7
男,31~40,偏胖的,教師,-1,3,-1,1,-1,-2,-1,2,-1,-1,-1,7
男,31~40,偏胖的,(空),2,3,2,2,2,2,-2,2,2,-1,1,7
男,31~40,偏胖的,design phd,-1,3,2,3,2,3,1,-2,2,-2,-2,7
男,31~40,偏胖的,(空),-1,-1,1,2,1,1,-1,-2,-2,-2,1,7
男,41~50,均匀的,教师,1,3,2,1,1,1,-1,1,3,-2,-3,7
女,18~25,偏胖的,行銷企劃,2,3,2,-2,-2,-3,1,-3,3,-3,-3,8
女,18~25,偏胖的,設計師,1,1,2,-3,1,1,-3,-3,3,-3,-3,8
女,18~25,偏瘦的,学生,1,3,-1,1,1,-1,1,-1,-1,1,-2,8
女,18~25,均匀的,财务会计,2,1,-1,3,-1,-1,2,1,1,1,3,8
女,18~25,均匀的,学生,3,-1,-1,3,3,3,1,3,-1,3,3,8
女,26~30,均匀的,設計,1,2,1,1,2,1,1,-1,2,-3,-1,8
女,26~30,偏胖的,服装,-2,3,-2,2,2,1,-1,1,2,-1,2,8
女,26~30,均匀的,教师,2,2,-2,2,-3,-3,3,-1,-1,3,1,8
女,26~30,均匀的,医师,2,1,-2,1,-1,-2,2,-2,2,2,3,8
女,26~30,偏胖的,医学,-2,3,-2,-2,2,-2,-2,-2,2,-2,-2,8
女,26~30,均匀的,服装,1,2,1,-1,1,1,1,-2,2,-2,-2,8
女,26~30,均匀的,服装设计,3,-1,3,3,2,3,3,1,2,-3,-3,8
女,26~30,均匀的,纺织研究助理,2,2,3,3,1,2,3,1,1,-2,2,8
女,31~40,偏瘦的,(空),-1,1,3,1,2,3,2,-3,2,-3,-3,8
女,31~40,均匀的,(空),1,2,3,1,2,2,2,-1,3,-1,1,8
女,31~40,均匀的,教师,-2,2,-1,1,-1,-1,2,1,-1,1,1,8
女,31~40,偏胖的,教育,-1,-2,2,1,-1,2,-1,-1,2,-1,-1,8
男,18~25,均匀的,master of school of architecture,1,3,2,2,3,2,1,-1,-2,3,1,8
男,18~25,偏瘦的,广告,2,1,1,-1,-2,-2,1,-2,3,-3,-3,8
男,18~25,均匀的,学生,2,1,2,2,1,2,2,1,1,1,1,8
男,18~25,均匀的,学生,1,3,-1,-1,1,1,1,1,-1,1,-1,8
男,18~25,均匀的,学生,-1,3,-1,-1,-1,-1,-1,3,-1,3,3,8
男,18~25,均匀的,学生,2,3,1,3,-1,-2,3,1,-1,-1,2,8
男,18岁以下,偏瘦的,本科在校学生,1,-1,1,3,-2,-2,2,3,2,2,3,8
男,26~30,偏胖的,学生,2,2,3,2,-2,-2,3,-1,3,3,3,8
男,26~30,均匀的,颜色科学,2,3,2,2,2,2,2,2,2,1,2,8
男,26~30,偏胖的,(空),1,3,1,2,-1,-1,1,-1,-1,2,-2,8
