,Gender,Age,Figure,Job,Heavy:Light,Passive:Active,Cold:Warm,Dirty:Clean,Traditional:Modern,Plain: Gaudy,Tense:Relaxed,FatL:SlimL,Masculine:Feminine,HMatch:EMatch,Dislike:Like,Group
96,男,31~40,偏胖的,工业设计,1,-2,-1,-1,1,1,-1,1,2,-3,-3,2
97,男,31~40,偏胖的,教師,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-2,2
98,男,31~40,偏胖的,(空),-2,-1,-2,-2,-2,-2,2,-2,-2,2,-2,2
99,男,31~40,偏胖的,design phd,-1,1,-1,3,-1,-1,-1,1,2,-2,-2,2
100,男,31~40,偏胖的,(空),2,-2,-2,2,1,2,2,2,-2,1,1,2
101,男,41~50,均匀的,教师,-3,-1,-2,1,-2,-2,-2,-1,1,-1,-3,2
102,女,18~25,偏胖的,行銷企劃,-3,-3,-3,-3,-3,-2,-3,-2,1,-3,1,3
103,女,18~25,偏胖的,設計師,-1,2,1,-1,-1,-1,-1,1,-1,-1,1,3
104,女,18~25,偏瘦的,学生,1,-3,-1,2,2,-2,2,1,-2,2,2,3
105,女,18~25,均匀的,财务会计,-1,-2,-1,3,-1,-1,1,-2,-1,-1,-1,3
106,女,18~25,均匀的,学生,-1,-2,-1,3,2,1,-1,-3,1,-1,-3,3
107,女,26~30,均匀的,設計,-2,-3,-2,1,2,1,1,1,-1,-2,-1,3
108,女,26~30,偏胖的,服装,3,-3,1,2,1,2,2,-1,-1,-1,-2,3
109,女,26~30,均匀的,教师,1,-1,-1,1,-2,-2,1,-1,-1,2,-1,3
110,女,26~30,均匀的,医师,1,-2,-1,1,-1,-2,2,-1,2,3,2,3
111,女,26~30,偏胖的,医学,3,-2,3,2,2,2,3,2,3,3,3,3
112,女,26~30,均匀的,服装,-2,-2,-1,-1,1,-1,-1,1,-1,-1,1,3
113,女,26~30,均匀的,服装设计,-2,-2,-2,3,-1,-2,1,2,-2,1,-2,3
114,女,26~30,均匀的,纺织研究助理,-1,-1,-2,1,1,-1,-1,1,1,-2,-1,3
115,女,31~40,偏瘦的,(空),-3,1,-3,-1,-2,-3,-3,3,-3,3,-3,3
116,女,31~40,均匀的,(空),-2,-3,-1,1,-2,-3,2,2,-2,2,-1,3
117,女,31~40,均匀的,教师,-1,-2,-1,2,-1,1,1,-1,-2,-1,-1,3
118,女,31~40,偏胖的,教育,-3,3,-1,-1,-2,2,2,2,-1,-2,-1,3
119,男,18~25,均匀的,master of school of architecture,-1,1,-1,-2,2,3,-1,2,-1,-2,-2,3
120,男,18~25,偏瘦的,广告,-1,-1,-1,-2,1,-2,-2,-1,1,-3,-2,3
121,男,18~25,均匀的,学生,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,3
122,男,18~25,均匀的,学生,1,-2,1,1,1,-1,1,1,-1,1,-1,3
123,男,18~25,均匀的,学生,1,-1,-1,-1,1,-1,-1,2,-1,3,3,3
124,男,18~25,均匀的,学生,1,-3,-2,2,-1,-2,1,-1,-1,1,1,3
125,男,18岁以下,偏瘦的,本科在校学生,1,-2,1,1,-1,-1,1,2,2,3,2,3
126,男,26~30,偏胖的,学生,-2,1,-1,1,-1,1,-1,2,-1,2,2,3
127,男,26~30,均匀的,颜色科学,-2,2,-1,-2,-2,-2,-1,-2,2,-2,-2,3
128,男,26~30,偏胖的,(空),-1,-2,-1,1,-1,-1,-1,1,-1,1,-1,3
129,男,26~30,偏瘦的,design master,-2,-1,1,-1,-2,-3,2,1,-2,-1,-2,3
130,男,31~40,偏胖的,工业设计,1,-3,1,-1,1,1,1,1,1,-2,-1,3
131,男,31~40,偏胖的,教師,-1,-2,-1,-1,-2,-1,-1,-2,-1,-1,-1,3
132,男,31~40,偏胖的,(空),-2,-1,-2,-2,-2,-2,2,-2,-2,2,-2,3
133,男,31~40,偏胖的,design phd,-1,-2,-1,3,-1,2,1,2,2,-2,-2,3
134,男,31~40,偏胖的,(空),-2,-3,2,1,-1,2,2,2,2,-1,-1,3
135,男,41~50,均匀的,教师,-2,-2,-2,1,-1,-2,-2,-1,-1,-3,-3,3
136,女,18~25,偏胖的,行銷企劃,-3,2,-3,-2,-2,-1,-3,3,1,-2,2,4
137,女,18~25,偏胖的,設計師,-1,2,-1,1,1,1,1,2,1,2,1,4
138,女,18~25,偏瘦的,学生,1,1,-1,3,2,-1,1,3,-3,3,3,4
139,女,18~25,均匀的,财务会计,-2,1,-2,3,-2,-2,1,-1,-1,-1,-2,4
140,女,18~25,均匀的,学生,-2,1,-2,-1,3,3,3,3,-1,3,3,4
141,女,26~30,均匀的,設計,-1,3,-2,-1,1,-1,-1,1,-2,-3,-2,4
142,女,26~30,偏胖的,服装,-1,-3,-2,2,1,-1,-2,1,-1,2,-2,4
143,女,26~30,均匀的,教师,-3,1,-1,-2,-2,-2,-3,1,-3,1,-1,4
144,女,26~30,均匀的,医师,-2,-2,-2,-1,-2,-2,-2,2,-2,2,-1,4
145,女,26~30,偏胖的,医学,-1,-2,1,2,-1,-1,-1,2,-1,2,1,4
146,女,26~30,均匀的,服装,-2,-1,1,-1,-2,-1,-1,2,-3,2,1,4
147,女,26~30,均匀的,服装设计,-2,-2,-1,3,-2,-2,1,2,-3,1,-1,4
148,女,26~30,均匀的,纺织研究助理,-1,1,1,1,-2,-1,-1,-1,-2,-3,-2,4
149,女,31~40,偏瘦的,(空),-3,2,-2,1,-2,-3,-2,3,-3,-3,-3,4
150,女,31~40,均匀的,(空),-2,-2,-3,1,2,1,-1,-3,-2,-3,-3,4
151,女,31~40,均匀的,教师,-1,1,1,-1,-2,1,-1,-1,-1,-1,1,4
152,女,31~40,偏胖的,教育,-1,3,-1,2,2,-1,2,3,-1,3,2,4
153,男,18~25,均匀的,master of school of architecture,-1,1,-1,2,2,-1,1,2,-2,1,-2,4
154,男,18~25,偏瘦的,广告,1,-1,1,1,-2,-2,2,-1,-1,-1,-1,4
155,男,18~25,均匀的,学生,1,1,1,1,-1,-1,1,1,1,-1,1,4
156,男,18~25,均匀的,学生,-1,-2,-1,1,1,-1,-1,1,-1,2,1,4
157,男,18~25,均匀的,学生,-1,1,-1,-3,1,-1,-1,3,-2,3,3,4
158,男,18~25,均匀的,学生,-3,1,-2,-2,-1,-3,1,1,-2,-1,1,4
159,男,18岁以下,偏瘦的,本科在校学生,1,-1,1,1,-1,-1,1,2,2,2,3,4
160,男,26~30,偏胖的,学生,-2,-1,-2,2,-3,-3,2,-1,-2,2,1,4
161,男,26~30,均匀的,颜色科学,3,3,-3,3,3,3,3,3,-3,3,3,4
162,男,26~30,偏胖的,(空),-1,2,-1,1,-1,-1,-1,1,-1,2,1,4
163,男,26~30,偏瘦的,design master,-2,-1,-2,1,-1,-1,2,1,-2,-1,2,4
164,男,31~40,偏胖的,工业设计,1,-1,-2,1,1,1,1,1,1,1,-1,4
165,男,31~40,偏胖的,教師,-1,-2,-1,1,-1,1,-1,-1,-1,-1,-1,4
166,男,31~40,偏胖的,(空),-1,-1,-2,-1,-1,-1,2,-1,-1,1,1,4
167,男,31~40,偏胖的,design phd,-1,2,1,3,3,2,1,1,-2,1,2,4
